day	Tag	dag	dag	jour	día	dia	giorno	день	dzień	ημέρα	iméra	nap	päivä	日/天	일	日	ngày	日	jat6	日	jit8	يوم	yawm	दिन	din	lá	law	dydd	өдөр	gün	كۈن	kün	นาที	nāa-thīi 	siku	hari	jį́	jeen
hour	Stunde	timme	uur	heure	hora	hora	ora	час	godzina	ώρα	óra	óra	tunti	小时	시간	时间	giờ	钟头	zung1 tau4	点钟	tiam2-tsiong1	ساعة	sa'a	घंटा	ghanta	uair	oo-ir	awr	цаг	saat	سائەت	sa'et	วินาที	wí-nāa-thīi 	saa	jam	ahééʼílkid	ah-hay-eel-kid
minute	Minute	minut	minuut	minute	minuto	minuto	minuto	минута	minuta	λεπτό	leptó	perc	minuutti	分钟	분	分	phút	分钟	fan1 zung1	分钟	hun1-tsiong1	دقيقة	daqiqa	मिनट	minat	nóiméad	no-may-ud	munud	минут	dakika	مىنۇت	minut	เช้า	cháo 	dakika	menit	minute	min-it
second	Sekunde	sekund	seconde	seconde	segundo	segundo	secondo	секунда	sekunda	δευτερόλεπτο	defterólepto	másodperc	sekunti	秒	초	秒	giây	秒	miu5	秒	mio2	ثانية	thaniya	सेकंड	sekand	soicind	suk-inj	eiliad	секунд	saniye	سېكۇنت	sékunt	บ่าย	bài 	sekunde	detik	second	sek-und
morning	Morgen	morgon	ochtend	matin	mañana	manhã	mattina	утро	rano	πρωί	proí	reggel	aamu	早上	아침	朝	buổi sáng	朝早	ziu1 zou2	早起	tsau2-khi2	صباح	sabah	सुबह	subah	maidin	maj-in	bore	өглөө	sabah	ئەتىگەن	etigen	เย็น	yen 	asubuhi	pagi	abíní	ah-bee-nee
afternoon	Nachmittag	eftermiddag	middag	après-midi	tarde	tarde	pomeriggio	день	popołudnie	απόγευμα	apógevma	délután	iltapäivä	下午	오후	午后	buổi chiều	下昼	haa6 zau3	下午	e7-poo3	بعد الظهر	ba'da al-dhuhr	दोपहर	dopahar	tráthnóna	traw-no-na	prynhawn	өдөр	öğle	چۈشتىن كېيىن	chüshtin kéiyin	กลางคืน	klāang khūen 	mchana	siang	ałníʼníʼą́ą́	alth-nee-nee-ahn
evening	Abend	kväll	avond	soir	tarde/noche	noite	sera	вечер	wieczór	βράδυ	vrády	este	ilta	晚上 	저녁	晩	buổi tối	晚黑	maan5 haak1	暝时	mi5-si5	مساء	masa'	शाम	shaam	tráthnóna	traw-no-na	noswaith	орой	akşam	كەچقۇرۇن	kechqurun	ยอด	yâwt 	jioni	sore	eʼeʼaah	ay-ay-ah
night	Nacht	natt	nacht	nuit	noche	noite	notte	ночь	noc	νύχτα	nýchta	éjszaka	yö	夜晚	밤	夜	đêm	夜晚	je6 maan5	暝	mi5	ليل	layl	रात	raat	oíche	ee-hyeh	nos	шөнө	gece	كېچە	kéche	ด้านล่าง	dâan lâang 	usiku	malam	tłʼéeʼgo	tlee-go
top	oben	topp	top	haut	arriba	topo	cima	верх	góra	κορυφή	koryfí	teteje	huippu	顶部	꼭대기	顶	trên cùng	顶	ding2	顶面	teng2-bin7	قمة	qimma	ऊपर	oopar	barr	bar	pen / brig	орой	üst	چوققا	choqqa	ด้านข้าง	dâan khâang 	juu	atas	deigo	day-go
bottom	unten	botten	bodem	bas	abajo	fundo	fondo	низ	dół	κάτω μέρος	káto méros	alja	pohja	底部	바닥	底	dưới cùng	底	dai2	跤底	kha1-te2	قاع	qa'	नीचे	neeche	bun	bun	gwaelod	ёроол	alt	ئاستى	asti	ด้านหน้า	dâan nâa 	chini	bawah	yaago	yah-go
side	Seite	sida	kant	côté	lado	lado	lato	сторона	bok	πλευρά	plevrá	oldal	sivu	侧面	옆	横	cạnh	侧边	zak1 bin1	旁边	pong5-pinn1	جانب	janib	बगल	bagal	taobh	tay-uv	ochr	тал	yan	يان	yan	ด้านหลัง	dâan lǎng 	kando	samping	tʼą́ą́h	tahn
front	vorne	framsida	voorkant	devant	frente	frente	fronte	перед	przód	μπροστά	brostá	eleje	etuosa	前面 	앞	前	phía trước	前面	cin4 min6	前面	tsin5-bin7	أمام	amam	सामने	saamne	tosach	tuss-ukh	blaen	урд тал	ön	ئالدى	aldi	ข้างนอก	khâang nâuk 	mbele	depan	tsį́į́h	tseen
back	hinten	baksida	achterkant	derrière	atrás	trás	retro	назад	tył	πίσω	píso	hátulja	takaosa	后面 	뒤	后	phía sau	后面	hau6 min6	后面	au7-bin7	خلف	khalf	पीछे	peechhe	cúl	kool	cefn	ар тал	arka	ئارقا	arqa	ข้างใน	khâang nāi 	nyuma	belakang	tʼą́ą́ʼ	tahn
outside	außen	utanför	buiten	dehors	fuera	fora	fuori	снаружи	zewnątrz	έξω	éxo	kint	ulkopuolella	外面	밖	外	bên ngoài	出面	ceot1 min6	外面	gua7-bin7	خارج	kharij	बाहर	baahar	amuigh	a-mwee	tu allan	гадаа	dışarı	تاشقىرى	tashqiri	ขึ้น	khûen 	nje	luar	tłʼóóʼdi	tloo-dee
inside	innen	innanför	binnen	dedans	dentro	dentro	dentro	внутри	wewnątrz	μέσα	mésa	bent	sisäpuolella	里面	안	中	bên trong	入面	jap6 min6	里面	lai7-bin7	داخل	dakhil	अंदर	andar	istigh	ish-tee	tu mewn	дотор	içeri	ئىچى	ichi	ลง	lōng 	ndani	dalam	yishyíʼdi	yish-yee-dee
up	hoch	upp	omhoog	en haut	arriba	para cima	su	вверх	w górę	πάνω	páno	fel	ylös	向上	위	上	lên	上	soeng6	上	tsiunn7	فوق	fawq	ऊपर	oopar	suas	soo-as	i fyny	дээшээ	yukarı	يۇقىرى	yuqiri	ซ้าย	sáai 	juu	atas	deigo	day-go
down	runter	ner	omlaag	en bas	abajo	para baixo	giù	вниз	w dół	κάτω	káto	le	alas	向下	아래	下	xuống	下	haa6	落	loh8	تحت	taht	नीचे	neeche	síos	shee-uss	i lawr	доошоо	aşağı	تۆۋەن	töwen	ขวา	khwǎa 	chini	bawah	yaago	yah-go
left	links	vänster	links	gauche	izquierda	esquerda	sinistra	лево	lewo	αριστερά	aristerá	bal	vasen	左边	왼쪽	左	trái	左	zo2	左	to2	يسار	yasar	बायाँ	baayaan	clé	klay	chwith	зүүн	sol	سول	sol	ตรง	trōng 	kushoto	kiri	nishtłʼahjí	nish-tlah-jee
right	rechts	höger	rechts	droite	derecha	direita	destra	право	prawo	δεξιά	dexiá	jobb	oikea	右边	오른쪽	右	phải	右	jau6	右	iu7	يمين	yamin	दायाँ	daayaan	deas	jass	de	баруун	sağ	ئوڭ	ong	ตะวันออก	tà-wān òok 	kulia	kanan	nishnáájí	nish-nah-jee
straight	geradeaus	rakt	rechtuit	droit	recto	direto	dritto	прямо	prosto	ίσια	ísia	egyenes	suora	直	똑바로	直线	thẳng	直	zik6	直	tit8	مستقيم	mustaqim	सीधा	seedha	díreach	jee-rukh	syth	шулуун	düz	ئۇدۇل	udul	ใต้	tâi 	moja kwa moja	lurus	tʼáá ákogi	tah ah-ko-gee
east	Osten	öster	oost	est	este	leste	est	восток	wschód	ανατολή	anatolí	kelet	itä	东	동	东	đông	东	dung1	东	tang1	شرق	sharq	पूर्व	poorv	oirthear	ur-har	dwyrain	зүүн	doğu	شەرق	sherq	ตะวันตก	tà-wān tòk 	mashariki	timur	haʼaʼaah	ha-ah-ah
south	Süden	söder	zuid	sud	sur	sul	sud	юг	południe	νότος	nótos	dél	etelä	南	남	南	nam	南	naam4	南	lam5	جنوب	janub	दक्षिण	dakshin	deisceart	jesh-kyurt	de	өмнө	güney	جەنۇب	jenub	เหนือ	nǔea 	kusini	selatan	shádiʼááh	shah-di-ah
west	Westen	väster	west	ouest	oeste	oeste	ovest	запад	zachód	δύση	dýsi	nyugat	länsi	西	서	西	tây	西	sai1	西	se1	غرب	gharb	पश्चिम	pashchim	iarthar	eer-har	gorllewin	баруун	batı	غەرب	gherb	ตะวันตก	tawan tok	magharibi	barat	eʼeʼaah	ay-ay-ah
north	Norden	norr	noord	nord	norte	norte	nord	север	północ	βορράς	vorrás	észak	pohjoinen	北	북	北	bắc	北	bak1	北	pak4	شمال	shamal	उत्तर	uttar	tuaisceart	too-ish-kyurt	gogledd	хойд	kuzey	شىمال	shimal	เหนือ	nuea	kaskazini	utara	náhookǫs	nah-hoo-kos
language	Sprache	språk	taal	langue	idioma	língua	lingua	язык	język	γλώσσα	glóssa	nyelv	kieli	语言	언어	言語	ngôn ngữ	语言	jyu5 jin1	语言	gi2-gian5	لغة	lugha	भाषा	bhasha	teanga	tyang-ga	iaith	хэл	dil	تىل	til	ภาษา	phā-sǎ	mimi	bahasa	saad	saad
word	Wort	ord	woord	mot	palabra	palavra	parola	слово	słowo	λέξη	léxi	szó	sana	词	단어	単語	từ	词	ci4	词	su5	كلمة	kalima	शब्द	shabd	focal	fuk-al	gair	үг	kelime	سۆز	söz	คำ	khām	neno	kata	saad	saad
America	Amerika	Amerika	Amerika	Amérique	América	América	America	Америка	Ameryka	Αμερική	Amerikí	Amerika	Amerikka	美国	미국	アメリカ	Mỹ	美国	mei5 gwok3	美国	bi2-kok4	أمريكا	amrika	अमेरिका	amerika	Meiriceá	mer-ik-yaw	America	Америк	Amerika	ئامېرىكا	amérika	อเมริกา	à-mē-rí-kā	Marekani	Amerika	Wááshindoon	waash-in-doon
China	China	Kina	China	Chine	China	China	Cina	Китай	Chiny	Κίνα	Kína	Kína	Kiina	中国	중국	中国	Trung Quốc	中国	zung1 gwok3	中国	tiong1-kok4	الصين	al-sin	चीन	cheen	An tSín	un teen	Tsieina	Хятад	Çin	جۇڭگو	junggo	จีน	chīn	China	Tiongkok	Tséghádi'ńdíníí Bikéyah	tse-gha-din-ee
English	Englisch	engelska	Engels	anglais	inglés	inglês	inglese	английский	angielski	αγγλικά	angliká	angol	englanti	英语	영어	英語	tiếng Anh	英语	jing1 jyu5	英语	ing1-gi2	الإنجليزية	al-ingliziya	अंग्रेज़ी	angrezi	Béarla	bayr-la	Saesneg	англи	İngilizce	ئینگلىزچە	inglizche	อังกฤษ	āng-krìt	Kiingereza	Inggris	Bilagáana bizaad	bi-la-gaa-na bi-zaad
Chinese	Chinesisch	kinesiska	Chinees	chinois	chino	chinês	cinese	китайский	chiński	κινέζικα	kinézika	kínai	kiina	中文	중국어	中国語	tiếng Trung	中文	zung1 man4	中文	tiong1-bun5	الصينية	al-siniya	चीनी	cheeni	Sínis	sheen-ish	Tsieineeg	хятад хэл	Çince	خەنزۇچە	xanzuche	ภาษาจีน	phā-sǎ chīn	Kichina	Mandarin	Tséghádi'ńdíníí bizaad	tse-gha-din-ee bi-zaad
Russia	Russland	Ryssland	Rusland	Russie	Rusia	Rússia	Russia	Россия	Rosja	Ρωσία	Rosía	Oroszország	Venäjä	俄罗斯	러시아	ロシア	Nga	俄罗斯	ngo4 lo4 si1	俄罗斯	lo5-su1-ia3	روسيا	rusiya	रूस	roos	An Rúis	un roosh	Rwsia	Орос	Rusya	روسىيە	rusiye	รัสเซีย	rát-siā	Urusi	Rusia	Biish Bikéyah	biish bi-kay-yah
Japan	Japan	Japan	Japan	Japon	Japón	Japão	Giappone	Япония	Japonia	Ιαπωνία	Iaponía	Japán	Japani	日本	일본	日本	Nhật Bản	日本	jat6 bun2	日本	jit8-pun2	اليابان	al-yaban	जापान	japan	An tSeapáin	un tyap-awn	Japan	Япон	Japonya	ياپونىيە	yaponiye	ญี่ปุ่น	yî-pùn	Japani	Jepang	Binááʼádaałtsʼózí Bikéyah	bi-naa-a-daal-tso-zi
Korea	Korea	Korea	Korea	Corée	Corea	Coreia	Corea	Корея	Korea	Κορέα	Koréa	Korea	Korea	韩国	한국	韓国	Hàn Quốc	韩国	hon4 gwok3	韩国	han5-kok4	كوريا	kuriya	कोरिया	koriya	An Chóiré	un kho-ra	Corea	Солонгос	Kore	كورىيە	koriye	เกาหลี	kāo-lǐ	Korea	Korea	Binááʼádaałtsʼózí bizaad	bi-naa-a-daal-tso-zi
Germany	Deutschland	Tyskland	Duitsland	Allemagne	Alemania	Alemanha	Germania	Германия	Niemcy	Γερμανία	Germanía	Németország	Saksa	德国	독일	ドイツ	Đức	德国	dak1 gwok3	德国	tek4-kok4	ألمانيا	almania	जर्मनी	jarmani	An Ghearmáin	un yar-mawn	Yr Almaen	Герман	Almanya	گېرمانىيە	gérmaniye	เยอรมนี	yē-rá-má-nī	Ujerumani	Jerman	Béésh Bichʼahii Bikéyah	beesh bi-chah-ee
France	Frankreich	Frankrike	Frankrijk	France	Francia	França	Francia	Франция	Francja	Γαλλία	Gallía	Franciaország	Ranska	法国	프랑스	フランス	Pháp	法国	faat3 gwok3	法国	huat4-kok4	فرنسا	faransa	फ्रांस	frans	An Fhrainc	un ronk	Ffrainc	Франц	Fransa	فرانسىيە	fransiye	ฝรั่งเศส	fà-ràng-sèt	Ufaransa	Prancis	Dáághahii Bikéyah	daa-gha-hee
England	England	England	Engeland	Angleterre	Inglaterra	Inglaterra	Inghilterra	Англия	Anglia	Αγγλία	Anglía	Anglia	Englanti	英格兰	잉글랜드	イングランド	Anh	英格兰	jing1 gaak3 laan4	英格兰	ing1-ke1-lan5	إنجلترا	injiltara	इंग्लैंड	ingland	Sasana	sas-un-na	Lloegr	Англи	İngiltere	ئەنگلىيە	engliye	อังกฤษ	āng-krìt	Uingereza	Inggris	Tótaʼ	to-ta
India	Indien	Indien	India	Inde	India	Índia	India	Индия	Indie	Ινδία	Indía	India	Intia	印度	인도	インド	Ấn Độ	印度	jan3 dou6	印度	in3-too7	الهند	al-hind	भारत	bharat	An India	un in-dee-a	Yr India	Энэтхэг	Hindistan	ھىندىستان	hindistan	อินเดีย	īn-dīa	Uhindi	India	Tó Wónaanídi Kéyah	to wo-naan-ee-di
Arab	Arabisch	arabiska	Arabisch	arabe	árabe	árabe	arabo	арабский	arabski	αραβικά	araviká	arab	arabia	阿拉伯	아랍	アラブ	Ả Rập	阿拉伯	aa3 laai1 baak3	阿拉伯	a1-la1-pik1	العرب	al-arab	अरब	arab	Arabach	ara-bokh	Arabaidd	Араб	Arap	ئەرەب	ereb	อาหรับ	ā-ràp	Mwarabu	Arab	Béésh Bichʼahii	beesh bi-chah-ee
